Date,Open,High,Low,Close,Adj Close,Volume,%(close),AVE %
1/2/2004,49.700001,50.869999,49.330002,50.040001,40.41267,64100,-0.01738615073,0.00791801760
1/3/2004,50.400002,50.52,47.470001,49.169998,39.710068,96900,-0.00915186126,
1/4/2004,49.09,50.349998,48.52,48.720001,39.419956,295500,0.01334150219,
1/5/2004,48.77,49.369999,47.189999,49.369999,39.945877,1707200,0.00951997184,
1/6/2004,49.049999,50.259998,48.91,49.84,40.326157,594200,-0.05718294543,
1/7/2004,49.09,49.240002,46.060001,46.990002,38.073795,113600,-0.00936375785,
1/8/2004,46.889999,47.139999,44.919998,46.549999,37.71727,748800,0.01675624096,
1/9/2004,46.720001,48.02,46.66,47.330002,38.349274,1134200,0.01415588362,
1/10/2004,47.610001,48.52,46.240002,48,38.965763,854000,0.04187495833,
1/11/2004,48.049999,50.650002,47.91,50.009998,40.597427,607100,0.02779452221,
1/12/2004,50.16,52.150002,50.16,51.400002,41.725842,460800,-0.03132297543,
1/1/2005,51.650002,51.650002,48.959999,49.790001,40.70657,626400,0.01405906780,
1/2/2005,49.950001,50.990002,49.75,50.490002,41.278866,177100,-0.02119239369,
1/3/2005,50.630001,51.549999,48.889999,49.419998,40.40406,462400,-0.02448399533,
1/4/2005,49.66,50,47.5,48.209999,39.503128,272300,0.05393076237,
1/5/2005,48.400002,50.900002,48.380001,50.810001,41.633564,737600,-0.00472349922,
1/6/2005,50.669998,51.639999,50.16,50.57,41.436916,877300,0.04370177971,
1/7/2005,50.619999,53.139999,50.16,52.779999,43.325958,386500,-0.01402042467,
1/8/2005,52.970001,53.240002,51.310001,52.040001,42.718513,727100,0.00288235967,
1/9/2005,52,52.98,51.02,52.189999,42.84164,837800,-0.00843071486,
1/10/2005,52.27,52.27,49.830002,51.75,42.573067,901600,0.04154593237,
1/11/2005,51.75,54.75,51.369999,53.900002,44.341805,839600,-0.00742118711,
1/12/2005,54.349998,55.080002,53.5,53.5,44.012737,1241700,0.02186912150,
1/1/2006,53.84,55.849998,53.279999,54.669998,45.096497,1687100,-0.00274369866,
1/2/2006,54.91,55.290001,53.540001,54.52,44.972767,1011000,0.01192219369,
1/3/2006,54.82,55.700001,54,55.169998,45.508942,1672600,0.00000000000,
1/4/2006,55.689999,56.07,54.41,55.169998,45.631512,947800,-0.03407643770,
1/5/2006,55.400002,55.849998,52.169998,53.290001,44.076565,1745500,-0.00600487885,
1/6/2006,53.279999,54.400002,50.75,52.970001,43.811886,2058300,-0.02227676001,
1/7/2006,53.169998,53.27,50,51.790001,42.929691,1411100,0.03070090692,
1/8/2006,51.650002,53.48,51.150002,53.380001,44.247688,1461600,0.02716374996,
1/9/2006,52.650002,55.060001,52.650002,54.830002,45.449604,1911200,0.03319350599,
1/10/2006,54.950001,57.130001,54.220001,56.650002,47.056049,2147300,0.02383050225,
1/11/2006,56.880001,58.419998,55.860001,58,48.177399,6064700,-0.00241377586,
1/12/2006,58.09,58.950001,57.290001,57.860001,48.061115,2645500,0.02575176243,
1/1/2007,58.279999,60.360001,57.450001,59.349998,49.428871,4597600,-0.01853408656,
1/2/2007,59.66,61,57,58.25,48.512753,3080100,0.00309012876,
1/3/2007,57.310001,59.5,56.5,58.43,48.662663,6578500,0.04398425466,
1/4/2007,58.59,61.759998,58.259998,61,50.918156,2965000,0.03508195082,
1/5/2007,61,63.240002,60.669998,63.139999,52.704456,2747000,-0.01251189440,
1/6/2007,63.279999,63.580002,61.41,62.349998,52.04504,2574200,-0.02149158048,
1/7/2007,62.540001,64.93,61.009998,61.009998,51.051239,4505700,0.01934110865,
1/8/2007,61.5,63.09,57.509998,62.189999,52.03862,5895300,0.04245060367,
1/9/2007,62.23,65.019997,61.029999,64.830002,54.247719,6372600,0.02961588679,
