,predicted_mean
147,3.5319440528584742
148,3.2779636436199464
149,4.3791932645124785
150,1.6989417483370532
151,0.9766286820288927
152,4.746213923985947
153,4.973691312967642
154,-1.0300710422159476
155,5.4666455728909575
156,1.0247798553823984
157,-1.481981754094912
158,3.361214439703263
159,3.837157072242748
160,3.583176663004222
161,4.684406283896754
162,2.004154767721329
163,1.2818417014131684
164,5.051426943370224
165,5.278904332351917
166,-0.7248580228316719
167,5.77185859227523
168,1.329992874766674
169,-1.1767687347106364
170,3.6664274590875383
171,4.142370091627024
172,3.888389682388498
173,4.98961930328103
174,2.3093677871056046
175,1.5870547207974441
176,5.3566399627545
177,5.584117351736193
178,-0.4196450034473962
179,6.077071611659505
180,1.6352058941509497
181,-0.8715557153263607
182,3.971640478471814
183,4.4475831110112996
184,4.1936027017727735
185,5.294832322665306
186,2.6145808064898803
187,1.8922677401817198
188,5.661852982138775
189,5.889330371120469
190,-0.1144319840631205
191,6.382284631043781
192,1.9404189135352254
193,-0.566342695942085
194,4.27685349785609
195,4.752796130395575
196,4.498815721157049
197,5.600045342049581
198,2.919793825874156
199,2.1974807595659955
200,5.967066001523051
201,6.1945433905047445
202,0.1907810353211552
203,6.687497650428057
204,2.245631932919501
205,-0.2611296765578093
206,4.582066517240365
207,5.058009149779851
208,4.804028740541325
209,5.905258361433857
210,3.2250068452584317
211,2.5026937789502712
212,6.272279020907327
213,6.49975640988902
214,0.4959940547054309
215,6.9927106698123325
216,2.550844952303777
217,0.04408334282646642
218,4.887279536624641
219,5.363222169164127
220,5.109241759925601
221,6.210471380818133
222,3.5302198646427074
223,2.807906798334547
224,6.577492040291602
225,6.804969429273296
226,0.8012070740897066
227,7.297923689196608
228,2.8560579716880525
229,0.3492963622107421
230,5.192492556008917
231,5.668435188548402
232,5.414454779309876
233,6.515684400202408
234,3.835432884026983
235,3.1131198177188226
236,6.882705059675878
237,7.1101824486575715
238,1.1064200934739823
239,7.603136708580884
240,3.1612709910723282
241,0.6545093815950178
242,5.4977055753931925
243,5.973648207932678
244,5.719667798694152
245,6.820897419586684
246,4.140645903411259
247,3.4183328371030983
248,7.187918079060154
249,7.415395468041847
250,1.411633112858258
251,7.90834972796516
252,3.466484010456604
253,0.9597224009792935
254,5.802918594777468
255,6.278861227316954
256,6.024880818078428
257,7.12611043897096
258,4.4458589227955345
259,3.723545856487374
260,7.4931310984444295
261,7.720608487426123
262,1.7168461322425337
263,8.213562747349435
264,3.7716970298408796
