,predicted_mean
243,3.648412506162785
244,-0.5792988936091774
245,4.297851760302841
246,0.7788419408330647
247,0.13516937836374687
248,2.1898299049474286
249,5.032690411978688
250,0.6106751217319513
251,1.4215614584897622
252,3.3862211647998617
253,1.7111412687544307
254,2.2728859617233175
255,3.722430817836556
256,-0.5052805819354065
257,4.371870071976612
258,0.8528602525068356
259,0.2091876900375187
260,2.2638482166212004
261,5.106708723652458
262,0.6846934334057249
263,1.4955797701635358
264,3.4602394764736335
265,1.7851595804282034
266,2.3469042733970893
267,3.7964491295103278
268,-0.43126227026163466
269,4.4458883836503835
270,0.9268785641806074
271,0.2832060017112905
272,2.337866528294972
273,5.18072703532623
274,0.7587117450794967
275,1.5695980818373076
276,3.5342577881474053
277,1.8591778921019753
278,2.420922585070861
279,3.8704674411840996
280,-0.35724395858786284
281,4.519906695324155
282,1.0008968758543793
283,0.35722431338506233
284,2.411884839968744
285,5.254745347000002
286,0.8327300567532685
287,1.6436163935110795
288,3.608276099821177
289,1.933196203775747
290,2.494940896744633
291,3.9444857528578714
292,-0.283225646914091
293,4.593925006997927
294,1.074915187528151
295,0.43124262505883415
296,2.485903151642516
297,5.328763658673774
298,0.9067483684270403
299,1.7176347051848513
300,3.682294411494949
301,2.007214515449519
302,2.5689592084184047
303,4.018504064531643
304,-0.2092073352403192
305,4.667943318671699
306,1.148933499201923
307,0.505260936732606
308,2.5599214633162877
309,5.4027819703475455
310,0.9807666801008121
311,1.791653016858623
312,3.756312723168721
313,2.0812328271232907
314,2.6429775200921766
315,4.092522376205415
316,-0.13518902356654738
317,4.741961630345471
318,1.2229518108756947
319,0.5792792484063778
320,2.6339397749900595
321,5.476800282021317
322,1.054784991774584
323,1.865671328532395
324,3.8303310348424926
325,2.1552511387970625
326,2.7169958317659484
327,4.166540687879187
328,-0.061170711892775564
329,4.815979942019243
330,1.2969701225494665
331,0.6532975600801496
332,2.7079580866638313
333,5.550818593695089
334,1.1288033034483558
335,1.9396896402061667
336,3.9043493465162644
337,2.2292694504708344
338,2.79101414343972
339,4.240558999552959
340,0.012847599780996255
341,4.889998253693014
342,1.3709884342232384
343,0.7273158717539214
344,2.781976398337603
345,5.624836905368861
346,1.2028216151221276
347,2.0137079518799386
348,3.9783676581900362
349,2.303287762144606
350,2.865032455113492
351,4.3145773112267305
352,0.08686591145476807
353,4.964016565366786
354,1.4450067458970102
355,0.8013341834276932
356,2.855994710011375
357,5.698855217042633
358,1.2768399267958994
359,2.0877262635537104
360,4.052385969863808
