,predicted_mean
242,1.713628989824178
243,-0.2555525065392086
244,3.7239490992582596
245,1.1922117433920558
246,-0.34083556515935953
247,2.300046422351505
248,1.945087261707205
249,0.18518253249949979
250,0.7200834211732499
251,0.33582533844218077
252,1.5928900907006027
253,2.4527944996416724
254,1.725668156633085
255,-0.24351333973030176
256,3.735988266067168
257,1.2042509102009644
258,-0.32879639835045094
259,2.3120855891604135
260,1.9571264285161136
261,0.19722169930840905
262,0.7321225879821591
263,0.34786450525109003
264,1.604929257509512
265,2.4648336664505814
266,1.7377073234419935
267,-0.23147417292139316
268,3.7480274328760768
269,1.216290077009873
270,-0.31675723154154234
271,2.324124755969322
272,1.9691655953250222
273,0.20926086611731765
274,0.7441617547910677
275,0.3599036720599986
276,1.6169684243184206
277,2.47687283325949
278,1.7497464902509021
279,-0.21943500611248457
280,3.7600665996849854
281,1.2283292438187816
282,-0.30471806473263374
283,2.3361639227782307
284,1.9812047621339308
285,0.22130003292622624
286,0.7562009215999763
287,0.3719428388689072
288,1.6290075911273292
289,2.4889120000683986
290,1.7617856570598107
291,-0.20739583930357597
292,3.772105766493894
293,1.2403684106276902
294,-0.29267889792372515
295,2.3482030895871393
296,1.9932439289428394
297,0.23333919973513484
298,0.7682400884088849
299,0.3839820056778158
300,1.6410467579362378
301,2.5009511668773072
302,1.7738248238687193
303,-0.19535667249466737
304,3.7841449333028025
305,1.2524075774365988
306,-0.28063973111481655
307,2.360242256396048
308,2.0052830957517482
309,0.24537836654404366
310,0.7802792552177937
311,0.39602117248672464
312,1.6530859247451466
313,2.5129903336862163
314,1.7858639906776284
315,-0.18331750568575833
316,3.7961841001117116
317,1.2644467442455078
318,-0.2686005643059075
319,2.372281423204957
320,2.017322262560657
321,0.25741753335295225
322,0.7923184220267023
323,0.40806033929563323
324,1.6651250915540552
325,2.525029500495125
326,1.797903157486537
327,-0.17127833887684973
328,3.80822326692062
329,1.2764859110544164
330,-0.2565613974969989
331,2.3843205900138655
332,2.0293614293695654
333,0.26945670016186085
334,0.8043575888356109
335,0.42009950610454183
336,1.6771642583629638
337,2.5370686673040335
338,1.8099423242954455
339,-0.15923917206794114
340,3.820262433729529
341,1.288525077863325
342,-0.24452223068809031
343,2.396359756822774
344,2.041400596178474
345,0.28149586697076945
346,0.8163967556445195
347,0.43213867291345043
348,1.6892034251718724
349,2.549107834112942
350,1.8219814911043541
351,-0.14720000525903254
352,3.8323016005384374
353,1.3005642446722336
354,-0.23248306387918172
355,2.4083989236316827
356,2.0534397629873826
357,0.29353503377967805
358,0.8284359224534281
359,0.444177839722359
