,predicted_mean
242,2.805473589034815
243,-0.056715319751901916
244,-0.5003831462634842
245,1.008566685686807
246,0.2372015991164922
247,-1.231594312366271
248,1.4969457962406771
249,1.5939951795858613
250,1.0650712974626462
251,-0.4912524357711252
252,0.15329016354558433
253,-0.05705584482400017
254,2.4932507808567523
255,0.21203740856080877
256,-0.7709650615069061
257,1.2386630941759373
258,0.002505347147592263
259,-1.0348114948896727
260,1.2931754139613079
261,1.7620687109427486
262,0.8879524893436124
263,-0.3479202512475288
264,-0.0008606112617025596
265,0.06495451927631313
266,2.3588936043951385
267,0.31567286246621434
268,-0.8882643327420684
269,1.326463252690607
270,-0.10009360908505677
271,-0.9606580196758747
272,1.2032450274213788
273,1.8244616246691219
274,0.8089397367477094
275,-0.29566245998645546
276,-0.07046466707281898
277,0.10847797353345448
278,2.297397859930776
279,0.3516691612144359
280,-0.9427724237194773
281,1.3559727316573218
282,-0.1485798171862877
283,-0.9367388106096406
284,1.15994841171223
285,1.843563200655844
286,0.7701154546507767
287,-0.2807126671697757
288,-0.1054347412806168
289,0.11984980530441852
290,2.2657492996664135
291,0.35995754553153675
292,-0.9715585398205308
293,1.3616038348919137
294,-0.1748991104084979
295,-0.9333977229686712
296,1.135754999299709
297,1.8449307780597701
298,0.747754102924802
299,-0.28104583916972325
300,-0.12621724326868844
301,0.11805094618489959
302,2.246327433007281
303,0.35689557338220584
304,-0.9898078259269266
305,1.3574533258340054
306,-0.19213787949875288
307,-0.9384863211550817
308,1.11938708265326
309,1.8390337449860543
310,0.7321366773307252
311,-0.28763957253252165
312,-0.14118790393295866
313,0.11085680418013186
314,2.231914147241893
315,0.3491840058172648
316,-1.003740772138349
317,1.3492958466155567
318,-0.20565687436868732
319,-0.9470280821292809
320,1.1062248264939
321,1.830160814223756
322,0.7192818546662411
323,-0.2967979017736917
324,-0.15377778379485313
325,0.1014525216706701
326,2.219552592171584
327,0.33956776348789625
328,-1.015905559415976
329,1.3394969396460028
330,-0.2176520893280034
331,-0.9569844074755286
332,1.0943757470923665
333,1.8200688274528571
334,0.7075587132801884
335,-0.3070068000674059
336,-0.16539239318510812
337,0.09114287031320091
338,2.208031514460917
339,0.3291712842488667
340,-1.0273460325544874
341,1.3290256330941828
342,-0.2290230983332813
343,-0.9675201993820399
344,1.083064601512659
345,1.8094774627773322
346,0.6962991573418429
347,-0.31764605674369045
348,-0.1766074897382704
349,0.08046234083771144
350,2.196854732516632
351,0.31845518632922826
352,-1.0384897953904935
353,1.3182788826808058
354,-0.24013840566514635
355,-0.9782933657771908
356,1.071973816821111
357,1.7986815313797957
358,0.6852295059918491
359,-0.3284616067697553
