Date,Open,High,Low,Close,Adj Close,Volume,%(close),AVE %
1/1/2003,22.700001,26.440001,20.440001,21.5,18.505964,141698000,0.094883767,0.012811097
1/2/2003,21.459999,23.6,20.360001,23.540001,20.261883,103329400,-0.019116439,
1/3/2003,23.6,26.5,21.799999,23.09,19.874546,135889300,0.142918969,
1/4/2003,23.280001,27.780001,23.16,26.389999,22.714994,132164800,0.134899664,
1/5/2003,26.379999,30.200001,25.92,29.950001,25.779236,147652600,-0.05742908,
1/6/2003,30.25,32.470001,27.49,28.23,24.298759,177465700,0.151257527,
1/7/2003,28.07,33.189999,27.65,32.5,27.974129,139885400,0.150461508,
1/8/2003,32.400002,37.860001,30.18,37.389999,32.183167,155235400,-0.079967828,
1/9/2003,37.950001,38.849998,34.299999,34.400002,29.609543,255101100,0.210755802,
1/10/2003,34.77,42.349998,34.5,41.650002,35.849922,237282400,0.051620574,
1/11/2003,42.150002,44.700001,41.009998,43.799999,37.700523,210284800,-0.052739659,
1/12/2003,44.299999,44.389999,38.41,41.490002,35.712208,256128000,0.011327958,
1/1/2004,41.91,45.779999,41.049999,41.959999,36.116749,262165400,-0.025262084,
1/2/2004,42.299999,43.82,39.970001,40.900002,35.204372,264402200,-0.034229876,
1/3/2004,40.860001,42.549999,36.849998,39.5,33.999329,425270300,-0.106329139,
1/4/2004,39.669998,41.970001,35.23,35.299999,30.384212,391476500,0.10254955,
1/5/2004,35.529999,39.02,34.5,38.919998,33.500092,446774900,-0.028006065,
1/6/2004,38.619999,38.98,35.630001,37.830002,32.56189,347094700,-0.130319845,
1/7/2004,37.43,37.450001,30.76,32.900002,28.318432,489470600,-0.108510692,
1/8/2004,32.450001,33.209999,28.299999,29.33,25.245575,435677500,0.031026253,
1/9/2004,29.23,32.18,27.780001,30.24,26.028852,551086800,0.069775066,
1/10/2004,30.74,32.779999,29.25,32.349998,27.845018,577832200,0.00432779,
1/11/2004,32.330002,34.849998,31.48,32.490002,27.965525,406745400,0.027085163,
1/12/2004,32.900002,34.950001,31.889999,33.369999,28.722973,486577500,-0.0647288,
1/1/2005,33.599998,33.77,29.67,31.209999,26.863771,592537600,0.089074114,
1/2/2005,31.35,34.950001,30.959999,33.990002,29.256638,571414300,-0.042953896,
1/3/2005,34.349998,34.91,32.02,32.529999,27.999952,655985500,-0.052566832,
1/4/2005,32.73,32.860001,29.879999,30.82,26.528084,589654900,0.116158404,
1/5/2005,30.91,34.790001,30.799999,34.400002,29.609543,490406100,-0.021221045,
1/6/2005,34.27,35.619999,33.5,33.669998,28.981201,538555500,0.109593205,
1/7/2005,33.700001,37.75,33.619999,37.360001,32.157341,407336300,-0.010171333,
1/8/2005,37.43,38.32,35.869999,36.98,31.830259,408826900,-0.001081693,
1/9/2005,36.830002,37.73,35.389999,36.939999,31.795822,357774700,-0.091770441,
1/10/2005,37.150002,37.599998,32.57,33.549999,28.877913,466793300,0.114456039,
1/11/2005,33.490002,37.759998,33.119999,37.389999,32.183167,331609300,-0.02005884,
1/12/2005,37.84,39.150002,36.509998,36.639999,31.537605,283578000,0.018013101,
1/1/2006,36.939999,40.639999,36.459999,37.299999,32.105694,426803700,-0.007506676,
1/2/2006,37.5,39.060001,36.810001,37.02,31.864687,310433700,-0.018908698,
1/3/2006,37.369999,38.889999,34.830002,36.32,31.262169,483972300,0.036618998,
1/4/2006,36.450001,38.810001,35.93,37.650002,32.406948,362043600,-0.096148813,
1/5/2006,37.639999,38.48,33.41,34.029999,29.291067,354780400,-0.032912108,
1/6/2006,34,34.900002,31.5,32.91,28.327034,344158400,-0.042236402,
1/7/2006,33.18,33.43,29.02,31.52,27.130602,350592300,0.081535533,
